listing_id,end_time,settle_time,listing_type,listing_state,horse_id,horse_name,horse_gender,hex_color,generation,bloodline,complete_rating,breeding_slots,winning_bid_amount,winning_bidder,total_bids,user_id
8a90052f-8f41-45b8-aa9c-905ffd487087,2025-07-01T06:25:54+00:00,2025-07-01T06:25:54+00:00,STUD_AUCTION,ACTIVE,e1b67ad4-4ff0-4163-8dda-ab186a801e57,Bandon Preserve,MALE,673AB7,3,FINNEY,3.0,1,0.0,,0,493deb02-05aa-4671-a7aa-d782c361aad1
e85a679b-1bbb-42be-8140-e3aaf0a0b87a,2025-07-01T06:22:58+00:00,2025-07-01T06:22:58+00:00,STUD_AUCTION,ACTIVE,f6bd5b32-4de5-4ea1-ac2c-20ad1171833c,Comforting Medium,MALE,CDDC39,1,BUTERIN,3.0,3,0.0,,0,5cfff332-d348-47db-b958-127d28e29912
b0f48fb2-38b5-4be4-a193-540ae1fa0c8a,2025-07-01T06:11:17+00:00,2025-07-01T06:11:17+00:00,STUD_AUCTION,ACTIVE,1a9d762a-2a0f-47c2-ac3a-e22eaa37fea1,Soul Kepper,MALE,0288D1,0,SZABO,3.5,0,0.0,,0,0c610479-f199-4ec5-9649-ad340c356e72
afd09602-0ce4-4b37-93a4-d81038068ce4,2025-07-01T06:10:19+00:00,2025-07-01T06:10:19+00:00,STUD_AUCTION,ACTIVE,0c5bc55c-2a69-4e43-b12e-bfb87dd96bc3,Blazing Bounty,MALE,9C27B0,1,FINNEY,3.5,0,0.0,,0,0c610479-f199-4ec5-9649-ad340c356e72
3970f034-119b-4d97-901e-592a14c2202a,2025-07-01T06:09:27+00:00,2025-07-01T06:09:27+00:00,STUD_AUCTION,ACTIVE,55ad508d-f63a-4eb9-a1eb-d0c32018f46d,Golden Buddha,MALE,FBC02D,2,FINNEY,3.5,0,0.0,,0,0c610479-f199-4ec5-9649-ad340c356e72
7537839c-c041-44ca-b90e-d1e0b01feb79,2025-07-01T06:07:40+00:00,2025-07-01T06:07:40+00:00,STUD_AUCTION,ACTIVE,0906b185-4937-4244-97cb-10ffb4fbd349,Crafty Foundation,MALE,B39DDB,0,FINNEY,3.5,0,0.0,,0,0c610479-f199-4ec5-9649-ad340c356e72
41d9d906-fc95-4d8e-98d9-53522d9ed9ae,2025-07-01T06:03:27+00:00,2025-07-01T06:03:27+00:00,STUD_AUCTION,ACTIVE,078b98d0-39b2-4c56-9328-5c11ad0108f3,Wrong Result 2,MALE,EF9A9A,3,NAKAMOTO,3.0,0,100.0,Wrong Result,1,0c610479-f199-4ec5-9649-ad340c356e72
3ccfd6d3-67dc-42ea-a291-a934e1c69c06,2025-07-01T06:02:08+00:00,2025-07-01T06:02:08+00:00,STUD_AUCTION,ACTIVE,e956d177-d89a-4dee-b59e-235eb2a87430,Secure Sundress,MALE,673AB7,2,BUTERIN,3.0,1,0.0,,0,fdb058f3-b236-48d8-bb7d-43d3f81a7baf
4d8e65da-9c82-4d2f-a054-aab9dba74d06,2025-07-01T05:38:29+00:00,2025-07-01T05:38:29+00:00,STUD_AUCTION,ACTIVE,4fe06917-c8fb-42c0-bf0d-f1fee0c0960f,No Laying Up,MALE,673AB7,3,FINNEY,3.0,1,0.0,,0,493deb02-05aa-4671-a7aa-d782c361aad1
b33011e1-6fc6-4070-8dd6-31971b0e4d92,2025-07-01T05:37:04+00:00,2025-07-01T05:37:04+00:00,STUD_AUCTION,ACTIVE,3725af9d-729b-4aad-9048-0f20b52e3e5c,Cadillac,MALE,FFF9C4,0,BUTERIN,2.0,0,0.0,,0,4753d5cc-691b-4f7a-8f46-b57b1851d865
24bf9058-7532-4fe8-b843-40b792f3103c,2025-07-01T05:35:11+00:00,2025-07-01T05:35:11+00:00,STUD_AUCTION,ACTIVE,75e8a3e2-e5f8-41ed-be24-fbf39e43271d,Complimentary Egeria,MALE,FDD835,2,BUTERIN,2.5,2,0.0,,0,70ef4f9a-686d-4a2f-b62b-09f6f248ec08
7c337143-5210-4c17-bc8f-9d14c4203da8,2025-07-01T05:34:04+00:00,2025-07-01T05:34:04+00:00,STUD_AUCTION,ACTIVE,2e9bd38b-73da-4d90-aaf9-c25b43051335,#PlayPlanetX,MALE,8E24AA,2,FINNEY,3.0,1,0.0,,0,4858e345-1d41-4cef-9726-1fdce4000507
de039d1b-2faf-4fa1-a13d-d44bc81bb141,2025-07-01T05:21:19+00:00,2025-07-01T05:21:19+00:00,STUD_AUCTION,ACTIVE,357d51c5-cafe-49e2-acf2-ba671c1f705a,Lepolt,MALE,0288D1,0,SZABO,3.0,1,0.0,,0,3eb7bcd9-7411-45d4-a330-76bf5bd07c22
88d54bbf-ee77-439d-9396-5ab80d802f2d,2025-07-01T05:17:20+00:00,2025-07-01T05:17:20+00:00,STUD_AUCTION,ACTIVE,07772179-6182-41de-9006-60bd8a4309e8,Spunky Hamlet,MALE,FFF176,2,NAKAMOTO,3.5,0,0.0,,0,439401ad-d6f3-43ed-a22e-50c39b7ba7eb
31cdfabb-49c7-4f20-879e-de92f4090867,2025-07-01T05:02:38+00:00,2025-07-01T05:02:38+00:00,STUD_AUCTION,ACTIVE,a9401a1d-e93b-400a-a7f8-adb6e21ce085,Mohawk Mark,MALE,03A9F4,1,SZABO,4.0,0,0.0,,0,f66b08b0-95be-4aa0-a599-06b4d551ca31
